id,price_usd,price_decile
156805,66.0,0
209068,100.0,3
259576,125.0,4
427497,159.0,6
621243,156.0,6
660702,71.0,1
674894,54.0,0
840696,201.0,7
846221,177.0,6
875735,60.0,0
943832,257.0,8
976034,132.0,4
977054,130.0,4
1039028,105.0,3
1066156,146.0,5
1297717,79.0,1
1332684,56.0,0
1392363,215.0,7
1393012,79.0,1
1466495,145.0,5
1569954,150.0,5
1586906,90.0,2
1684109,275.0,8
1851921,129.0,4
1879067,95.0,2
2176375,55.0,0
2222067,99.0,2
2254521,65.0,0
2296152,81.0,1
2326086,139.0,5
2411109,86.0,2
2569529,85.0,1
2643168,999.0,9
3066648,100.0,3
3084395,137.0,5
3095136,225.0,7
3220474,44.0,0
3225871,33.0,0
3268055,82.0,1
3314819,43.0,0
3445336,150.0,5
3445948,545.0,9
3454237,80.0,1
3529241,164.0,6
3563156,55.0,0
3649639,106.0,3
3767793,763.0,9
3868910,124.0,4
3945733,95.0,2
3990524,59.0,0
4124504,99.0,2
4241484,136.0,5
4304358,58.0,0
4394670,75.0,1
4846733,211.0,7
4875054,95.0,2
4895765,86.0,2
4931736,93.0,2
4994407,225.0,7
5114762,137.0,5
5151226,314.0,8
5261984,180.0,6
5288006,75.0,1
5333015,236.0,7
5506704,75.0,1
5850649,68.0,0
5868695,354.0,9
6054250,90.0,2
6079982,102.0,3
6170347,51.0,0
6197585,71.0,1
6227094,159.0,6
6234618,79.0,1
6290666,97.0,2
6399802,89.0,2
6452410,73.0,1
6609327,325.0,8
6724476,163.0,6
6760016,98.0,2
6813265,61.0,0
6818139,87.0,2
6913630,65.0,0
6970329,136.0,5
7001873,108.0,3
7045303,99.0,2
7103096,95.0,2
7418991,115.0,4
7438838,195.0,7
7665386,83.0,1
7665735,289.0,8
7859259,100.0,3
7887572,93.0,2
7938930,62.0,0
7967886,75.0,1
8089299,60.0,0
8193368,123.0,4
8246075,120.0,4
8265544,239.0,7
8513468,80.0,1
8593492,371.0,9
8782463,81.0,1
9022608,148.0,5
9243493,285.0,8
9944111,124.0,4
10085566,60.0,0
10089256,137.0,5
10263107,249.0,8
10360188,150.0,5
10524188,250.0,8
10632884,83.0,1
10724022,445.0,9
10785231,114.0,3
10853381,195.0,7
11259371,70.0,0
11291801,175.0,6
11421709,86.0,2
11489172,125.0,4
11553531,78.0,1
11609580,131.0,4
11811039,89.0,2
11938223,126.0,4
11947108,122.0,4
12144656,93.0,2
12222050,250.0,8
12250733,95.0,2
12281167,46.0,0
12286328,27.0,0
12400514,120.0,4
12472966,120.0,4
12763722,209.0,7
12809255,70.0,0
12813635,200.0,7
12834984,127.0,4
12848084,96.0,2
12970301,46.0,0
13186091,162.0,6
13206560,165.0,6
13234214,135.0,5
13274313,142.0,5
13326253,92.0,2
13333422,116.0,4
13348419,151.0,5
13386987,40.0,0
13426466,74.0,1
13556933,74.0,1
13621363,111.0,3
13674901,58.0,0
13686565,224.0,7
13716891,87.0,2
14110641,148.0,5
14125023,80.0,1
14167740,55.0,0
14168464,117.0,4
14236639,119.0,4
14357005,45.0,0
14514191,75.0,1
14561813,171.0,6
14632829,62.0,0
14652591,80.0,1
14738243,53.0,0
14805266,207.0,7
14835813,110.0,3
14963589,116.0,4
15124397,112.0,3
15158878,83.0,1
15192947,220.0,7
15231248,89.0,2
15248786,105.0,3
15351409,116.0,4
15422307,103.0,3
15437202,51.0,0
15444450,150.0,5
15462269,295.0,8
15476300,195.0,7
15510852,71.0,1
15544670,54.0,0
15546661,75.0,1
15653105,40.0,0
15685101,83.0,1
15706129,110.0,3
15757654,100.0,3
15867765,126.0,4
15936945,429.0,9
15995355,164.0,6
16095359,143.0,5
16147877,159.0,6
16155218,105.0,3
16203903,189.0,6
16211914,145.0,5
16267469,78.0,1
16284364,97.0,2
16451105,229.0,7
16476358,117.0,4
16512718,98.0,2
16532936,151.0,5
16566334,95.0,2
16636978,114.0,3
16660917,164.0,6
16663252,120.0,4
16700354,135.0,5
16810083,71.0,1
16832848,292.0,8
16846899,161.0,6
16856815,102.0,3
16868257,187.0,6
16937948,580.0,9
16937957,138.0,5
16937995,400.0,9
17036413,109.0,3
17116810,90.0,2
17155164,94.0,2
17157429,120.0,4
17158172,99.0,2
17310280,179.0,6
17345566,331.0,8
17446056,169.0,6
17552287,113.0,3
17606368,734.0,9
17634705,90.0,2
17638102,150.0,5
17648416,279.0,8
17649947,70.0,0
17653835,59.0,0
17726977,96.0,2
17774784,143.0,5
17780854,65.0,0
17794306,106.0,3
17826503,110.0,3
17892316,62.0,0
17917678,143.0,5
17935396,134.0,5
18021364,187.0,6
18092896,98.0,2
18121899,92.0,2
18308309,83.0,1
18308869,83.0,1
18309080,83.0,1
18322086,187.0,6
18393059,54.0,0
18459334,100.0,3
18487194,85.0,1
18721359,50.0,0
18776404,106.0,3
18784621,64.0,0
18910863,69.0,0
18928361,366.0,9
18974593,545.0,9
19029460,77.0,1
19032051,98.0,2
19066373,176.0,6
19077911,143.0,5
19135906,75.0,1
19326768,169.0,6
19561946,77.0,1
19620931,228.0,7
19643402,85.0,1
19809125,86.0,2
19870831,88.0,2
19992336,79.0,1
20008452,80.0,1
20121078,92.0,2
20131746,125.0,4
20153704,79.0,1
20174635,114.0,3
20241154,195.0,7
20268605,156.0,6
20355406,118.0,4
20408452,75.0,1
20439998,55.0,0
20456408,193.0,7
20456656,66.0,0
20473937,116.0,4
20504787,72.0,1
20542316,268.0,8
20583406,105.0,3
20624327,89.0,2
20624404,52.0,0
20638444,525.0,9
20697183,95.0,2
20744323,350.0,9
20747532,90.0,2
20759062,135.0,5
20773653,204.0,7
20815440,116.0,4
20830901,103.0,3
20855873,62.0,0
20858987,150.0,5
20872849,275.0,8
20970417,146.0,5
21054722,79.0,1
21104844,130.0,4
21253016,98.0,2
21297231,73.0,1
21354161,140.0,5
21382558,349.0,9
21449558,115.0,4
21947972,81.0,1
22049704,76.0,1
22095619,78.0,1
22107175,145.0,5
22114590,203.0,7
22119778,336.0,8
22151438,291.0,8
22306380,125.0,4
22317485,237.0,7
22351697,50.0,0
22360186,72.0,1
22408602,85.0,1
22437203,51.0,0
22437447,44.0,0
22511514,148.0,5
22517744,100.0,3
22530746,116.0,4
22589049,96.0,2
22594761,76.0,1
22683936,308.0,8
22684155,195.0,7
22740737,109.0,3
22773505,142.0,5
22813165,85.0,1
22848760,83.0,1
22924150,111.0,3
22944749,126.0,4
23068704,43.0,0
23076921,75.0,1
23084647,81.0,1
23234938,107.0,3
23254729,75.0,1
23285263,98.0,2
23335956,175.0,6
23370743,97.0,2
23393644,75.0,1
23481039,102.0,3
23516374,144.0,5
23518897,332.0,8
23523473,86.0,2
23525377,99.0,2
23541284,364.0,9
23546508,110.0,3
23562622,150.0,5
23564110,74.0,1
23579032,210.0,7
23579231,550.0,9
23596421,160.0,6
23644478,183.0,6
23715234,86.0,2
23739741,197.0,7
23740885,129.0,4
23745497,99.0,2
23748724,413.0,9
23748903,314.0,8
23748992,364.0,9
23749047,364.0,9
23788596,2204.0,9
23824223,176.0,6
23859316,119.0,4
23874576,108.0,3
23881173,85.0,1
23921294,209.0,7
23935850,225.0,7
24080389,105.0,3
24117606,72.0,1
24196245,113.0,3
24222452,162.0,6
24280176,96.0,2
24287936,90.0,2
24306486,234.0,7
24312963,81.0,1
24347730,300.0,8
24387676,84.0,1
24428641,425.0,9
24445744,123.0,4
24492331,250.0,8
24493492,95.0,2
24520534,55.0,0
24540122,103.0,3
24605088,62.0,0
24752561,196.0,7
24797144,117.0,4
24817711,136.0,5
24873765,89.0,2
24882481,191.0,7
24885757,65.0,0
