id,url,status,http_code,file_path,file_size,width,height,mode,md5_hash,error
846221,https://a0.muscache.com/pictures/12059499/34463139_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\846221.jpg,343643,1024,768,RGB,4fada2f219601e5d78f7430dd4d623ae,
976034,https://a0.muscache.com/pictures/17429978/e4656a27_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\976034.jpg,742120,2544,1696,RGB,b1805f2b41993786828591ece646ddcd,
1851921,https://a0.muscache.com/pictures/ae64bc29-5476-48e1-9b3e-9beee48fcc07.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\1851921.jpg,1981433,5715,3810,RGB,3fbc1758744ffe307094bf38a367365b,
875735,https://a0.muscache.com/pictures/12674237/1c1681e6_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\875735.jpg,3737110,4608,3456,RGB,647bc23a9cfdf5b2b9abaffcf4e9306b,
1421061,https://a0.muscache.com/pictures/miso/Hosting-1421061/original/1250bf57-c760-4773-9624-c7513856e976.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\1421061.jpg,1013071,2048,1363,RGB,e20103c57f10b9320051fd69a7b4a57e,
259576,https://a0.muscache.com/pictures/3564e991-a326-46fb-91fd-22d72b30d7ad.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\259576.jpg,3267409,4032,3024,RGB,b9c0737b1ff3dbd1f39e5d3b1e4d45dc,
943832,https://a0.muscache.com/pictures/miso/Hosting-943832/original/56c4ed0f-23c8-4073-a29c-781bd7692f6b.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\943832.jpg,360111,781,781,RGB,f04ff8dbc236dd2c885c61c1f7b08835,
209068,https://a0.muscache.com/pictures/1829924/9f3bf225_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\209068.jpg,669615,1600,1200,RGB,83f693aec00dea9361a7acc326665911,
1332684,https://a0.muscache.com/pictures/111ad28e-afe3-4de2-97a8-3d6d40470e13.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\1332684.jpg,2270023,4032,3024,RGB,19fdbd2957d12f3c50063fdf634540af,
1312301,https://a0.muscache.com/pictures/45a8c79e-7410-4004-ae61-458ecef226d6.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\1312301.jpg,573649,1600,1200,RGB,eb2ef147a8c3f4e497026e915e8af274,
