Feature,Mean_Abs_SHAP,Relative_Importance_Pct
Accommodates (Guests),0.23006507548287294,27.098231159988362
Bathrooms,0.1009248275873121,11.887437943385502
Longitude,0.0849764665186802,10.00895910884845
Minimum Nights,0.07112563983623002,8.377538510088726
Overall Rating,0.057358704986875224,6.755999116813505
Latitude,0.05643066532397375,6.646689899592423
Number of Reviews,0.050064145651486765,5.896808930446765
Beds,0.05003728117565547,5.893644696264152
Property: Private room in home,0.029009884548147583,3.416931299808691
Availability (365 Days),0.023734070562463763,2.7955191769947585
Cleanliness Rating,0.017611686728875857,2.0743937648715636
Superhost: No,0.017041603765386135,2.007246502764996
Property: Entire home,0.016852791930023685,1.9850072874053653
Property: Other,0.014517255741500652,1.7099159925346372
Room Type: Entire home/apt,0.01030217531348157,1.2134424467056142
Property: Entire rental unit,0.0061587961594654775,0.7254142404976553
Property: Entire guest suite,0.0049168565100612144,0.5791322912027612
Superhost: Yes,0.0038491608678377295,0.45337368459652694
Room Type: Private room,0.0037728862594367885,0.44438967446048977
Property: Entire cottage,0.0002540582823852133,0.02992427272907236
Room Type: Hotel room,0.0,0.0
Room Type: Shared room,0.0,0.0
Property: Entire guesthouse,0.0,0.0
