Experiment_ID,Category,Hypothesis_or_Variation,Model,Feature_Dimension,MAE,RMSE,R2,MAPE,MedAE,Test_N,Status
EXP-01,V3 Baseline,Tabular Only (23-d),HistGradientBoosting (Log1p),23,74.07,158.64,0.5318,33.66,34.88,360,Baseline Established
EXP-02,V3 Baseline,Tabular + Text (MiniLM PCA 32-d),HistGradientBoosting (Log1p),55,77.58,165.03,0.4933,35.19,35.88,360,Degradation vs Tabular
EXP-03,V3 Baseline,Tabular + Image (EfficientNet PCA 64-d),HistGradientBoosting (Log1p),87,79.59,174.16,0.4357,33.45,33.55,360,Degradation vs Tabular
EXP-04,V3 Baseline,Full Multimodal Concatenation (119-d),HistGradientBoosting (Log1p),119,79.65,174.78,0.4316,34.17,35.93,360,Degradation vs Tabular
EXP-05-XGBoost,Tabular Regressor Comparison,Alternative Regressor: XGBoost,XGBoost (Log1p),23,77.92,173.15,0.4422,33.49,33.82,360,Evaluated
EXP-05-CatBoost,Tabular Regressor Comparison,Alternative Regressor: CatBoost,CatBoost (Log1p),23,77.82,169.96,0.4625,33.01,34.84,360,Evaluated
EXP-05-LightGBM,Tabular Regressor Comparison,Alternative Regressor: LightGBM,LightGBM (Log1p),23,76.85,161.22,0.5164,34.15,33.85,360,Evaluated
EXP-06-PCA-1,PCA Dimensionality Ablation,Dimensionality: No PCA (Full Raw Embeddings),HistGradientBoosting (Log1p),1687,80.55,173.75,0.4383,34.64,36.12,360,Evaluated
EXP-06-PCA-2,PCA Dimensionality Ablation,Dimensionality: PCA Retaining ~95% Variance,HistGradientBoosting (Log1p),679,81.24,175.14,0.4293,35.21,35.2,360,Evaluated
EXP-06-PCA-3,PCA Dimensionality Ablation,Dimensionality: PCA Retaining ~99% Variance,HistGradientBoosting (Log1p),1078,84.27,177.18,0.4159,37.45,39.47,360,Evaluated
EXP-03-CLIP-1,CLIP Multimodal Representation,Tabular + V3 Text (MiniLM 32-d),HistGradientBoosting (Log1p),55,77.58,165.03,0.4933,35.19,35.88,360,Evaluated
EXP-03-CLIP-2,CLIP Multimodal Representation,Tabular + V3 Image (EfficientNet 64-d),HistGradientBoosting (Log1p),87,79.59,174.16,0.4357,33.45,33.55,360,Evaluated
EXP-03-CLIP-3,CLIP Multimodal Representation,Full Multimodal V3 (MiniLM + EfficientNet 119-d),HistGradientBoosting (Log1p),119,79.65,174.78,0.4316,34.17,35.93,360,Evaluated
EXP-03-CLIP-4,CLIP Multimodal Representation,Tabular + CLIP Text (PCA 32-d),HistGradientBoosting (Log1p),55,73.95,164.37,0.4973,33.89,34.25,360,Evaluated
EXP-03-CLIP-5,CLIP Multimodal Representation,Tabular + CLIP Image (PCA 64-d),HistGradientBoosting (Log1p),87,81.32,175.03,0.43,34.8,36.56,360,Evaluated
EXP-03-CLIP-6,CLIP Multimodal Representation,Full Multimodal CLIP (CLIP Text + Image 119-d),HistGradientBoosting (Log1p),119,76.8,164.97,0.4936,33.61,33.86,360,Evaluated
EXP-07-GEO-1,Geographic Features,HistGradientBoosting + 7 Spatial Distances,HistGradientBoosting (Log1p),30,76.72,165.88,0.488,33.13,32.12,360,Evaluated
EXP-07-GEO-2,Geographic Features,LightGBM + 7 Spatial Distances,LightGBM (Log1p),30,77.45,167.69,0.4768,33.39,33.52,360,Evaluated
EXP-07-GEO-3,Geographic Features,CatBoost + 7 Spatial Distances,CatBoost (Log1p),30,76.99,170.98,0.4561,32.6,36.04,360,Evaluated
EXP-07-GEO-4,Geographic Features,XGBoost + 7 Spatial Distances,XGBoost (Log1p),30,75.39,168.31,0.4729,33.0,32.9,360,Evaluated
EXP-08-TEXT-3,Text Embedding Comparison,Tabular + BAAI/bge-small-en-v1.5 (PCA 32-d),HistGradientBoosting (Log1p),55,75.17,168.19,0.4737,34.33,33.53,360,Evaluated
EXP-08-TEXT-4,Text Embedding Comparison,Tabular + BAAI/bge-small-en-v1.5 (Raw 384-d),HistGradientBoosting (Log1p),407,78.22,177.96,0.4108,34.8,35.24,360,Evaluated
EXP-08-TEXT-5,Text Embedding Comparison,Tabular + intfloat/e5-small-v2 (PCA 32-d),HistGradientBoosting (Log1p),55,76.89,174.74,0.4319,34.1,35.12,360,Evaluated
EXP-08-TEXT-6,Text Embedding Comparison,Tabular + intfloat/e5-small-v2 (Raw 384-d),HistGradientBoosting (Log1p),407,77.06,174.4,0.4341,34.89,35.1,360,Evaluated
EXP-09-ATTN-0,Multimodal Fusion Architecture,Simple Concatenation Baseline (MLP),PyTorch Neural Architecture,192,85.48,193.23,0.3053,34.51,36.94,360,Evaluated
EXP-09-ATTN-1,Multimodal Fusion Architecture,Learned Attention-Based Multimodal Fusion,PyTorch Neural Architecture,192,85.42,182.75,0.3786,37.79,37.93,360,Evaluated
EXP-10-SIZE-0,Dataset Cohort Scaling,Scale: Subset Scale (N=500),HistGradientBoosting (Log1p),23,67.63,147.55,0.4083,42.38,37.77,360,Evaluated
EXP-10-SIZE-1,Dataset Cohort Scaling,Scale: Subset Scale (N=1000),HistGradientBoosting (Log1p),23,63.49,143.63,0.4394,40.4,35.96,360,Evaluated
EXP-10-SIZE-2,Dataset Cohort Scaling,"Scale: V3 Training Scale (N=1,440)",HistGradientBoosting (Log1p),23,61.47,144.41,0.4332,38.57,32.23,360,Evaluated
EXP-10-SIZE-3,Dataset Cohort Scaling,Scale: Full Authentic Available Pool (N=1847),HistGradientBoosting (Log1p),23,58.99,143.98,0.4366,36.62,32.38,360,Evaluated
